Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C15, C16, C9",0201,4,100nf,C85923
"C11, C12, C17",0603,3,22uF,C84419
"C13, C14, C7, C8",0201,4,2.2uF,C335106
"C18, C24",0201,2,0.1uF,C335106
C19,0603,1,>10uF,C84419
"C20, C22, C23",0201,3,1uF,C87144
C21,0201,1,47nF,C88917
F1,1206,1,Fuse,C22445177
J1,SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm,1,XT80 Male,
J2,PinHeader_1x08_P2.54mm_Vertical,1,Motor Conn,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Throttle Conn,
J4,PinHeader_1x03_P2.54mm_Vertical,1,PAS Conn,
J5,PinHeader_1x06_P2.54mm_Vertical,1,Display Conn,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Brake Conn,
L1,IND-SMD_L7.1-W6.6,1,8.2uH 68mOhm,
L2,IND-SMD_L4.8-W4.5,1,L,
"PS1, PS2",SON50P300X300X80-13N,2,LMR38025SQDRRRQ1,C22427956
Q1,TO-220-3_Vertical,1,PHASE A HIGH,
Q2,TO-220-3_Vertical,1,PHASE B HIGH,
Q3,TO-220-3_Vertical,1,PHASE C HIGH,
Q4,TO-220-3_Vertical,1,PHASE A LOW,
Q5,TO-220-3_Vertical,1,PHASE B LOW,
Q6,TO-220-3_Vertical,1,PHASE C LOW,
"R1, R10, R18, R20, R22, R24, R6, R8",0603,8,10k,C98220
"R11, R7, R9",0603,3,18k,C137655
R17,0402,1,46.4k,C185412
R19,0402,1,40.2k,C2085257
R2,0603,1,180k,C137657
R21,0402,1,21.5k,C185442
R23,0402,1,23.2k,C852655
"R25, R26",0603,2,73k,C163420
"R3, R4, R5",2512,3,CSS2H-2512R-1L00F,C4175647
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,C701342
U5,RTA0040B,1,DRV8353SRTAT,C2150480
