Designator,Mid X,Mid Y,Rotation,Layer
C1,163.8,-83.2,270.0,top
C10,203.55,-98.375,180.0,top
C11,203.55,-97.375,0.0,top
C12,203.55,-96.375,0.0,top
C13,192.05,-86.2,180.0,top
C14,182.55,-90.875,270.0,top
C15,182.55,-80.375,90.0,top
C16,209.55,-80.375,90.0,top
C17,210.55,-80.375,90.0,top
C18,190.86875,-66.95,0.0,top
C19,191.65875,-68.45,0.0,top
C2,214.702651,-73.2,180.0,top
C20,190.86875,-65.652,0.0,top
C21,190.68875,-70.95,270.0,top
C22,186.3,-71.68,270.0,top
C23,187.68875,-71.95,0.0,top
C24,177.95875,-63.45,180.0,top
C3,227.83,-90.7,0.0,top
C4,227.83,-87.7,0.0,top
C5,194.55,-91.375,0.0,top
C6,207.55,-93.875,180.0,top
C7,210.05,-81.875,180.0,top
C8,197.05,-79.375,0.0,top
C9,207.55,-94.875,0.0,top
D1,222.2775,-72.3,180.0,top
J1,166.129,-63.7,90.0,top
J10,174.3,-35.205,90.0,top
J2,169.22,-125.2,90.0,top
J3,181.586667,-125.2,90.0,top
J4,191.713333,-125.2,90.0,top
J5,222.82,-125.2,270.0,top
J6,200.57,-125.2,90.0,top
J7,209.3,-125.2,90.0,top
J8,217.8,-35.205,90.0,top
J9,196.05,-35.205,90.0,top
L1,222.3,-80.7,180.0,top
Q1,224.15675,-45.903,0.0,top
Q2,189.68075,-45.903,0.0,top
Q3,178.18875,-45.903,0.0,top
Q4,212.66475,-45.903,0.0,top
Q5,201.17275,-45.903,0.0,top
Q6,166.69675,-45.903,0.0,top
R1,169.5,-74.43,270.0,top
R12,199.55,-73.875,180.0,top
R14,222.93,-119.43,0.0,top
R2,171.5,-74.43,270.0,top
R25,177.18875,-66.95,180.0,top
R26,177.18875,-64.95,0.0,top
R3,166.68875,-50.45,180.0,top
R4,201.18875,-50.45,180.0,top
R5,215.18875,-50.45,180.0,top
SW1,199.55,-70.875,0.0,top
U1,222.93,-111.43,90.0,top
U2,221.2275,-63.61,180.0,top
U3,220.83,-90.7,180.0,top
U4,202.3,-86.7,270.0,top
U5,184.18875,-65.95,180.0,top
U6,181.3,-106.2,270.0,top
X1,186.55,-85.875,90.0,top
