Designator,Footprint,Quantity,Value,LCSC Part #
"C14, C15",0402,2,30pF,C1570
J1,PinSocket_2x20_P2.54mm_Vertical,1,Pi 0 2W,
J2,PinHeader_2x03_P2.54mm_Vertical,1,Power Conn,
J3,PinHeader_2x03_P2.54mm_Vertical,1,Data Conn,
J4,PinHeader_1x04_P2.54mm_Vertical,1,GPS/DEBUG,
J5,PinHeader_1x06_P2.54mm_Vertical,1,Display Conn,
R1,0805,1,10k,C17414
R14,0805,1,120,C17437
U1,SOIC-18W_7.5x11.6mm_P1.27mm,1,MCP2515-xSO,C15193
U2,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,SN65HVD230DR,C12084
X1,CRYSTAL-SMD_L11.5-W4.8-LS12.7,1,X49SM8MSD2SC,C12674
