Product Name,Product Description,Product Link,Product unit price,Product amount,Product Cost,Total (Before Tax + Shipping),Total (Without Shipping),Total
Display-PCB,PCB for display,https://jlcpcb.com/,4.12,5,$20.58,$198.40,$212.29,$259.05
2x20 Socket,Socket for Pi,https://www.digikey.com/en/products/detail/sullins-connector-solutions/SFH11-PBPC-D20-ST-BK/1990093,1.52,1,$1.52,,,
2x3 Header,Expansion Pins,https://www.digikey.com/en/products/detail/sullins-connector-solutions/PBC03DAAN/861061,0.58,2,$1.16,,,
Display,Display for eBike,https://www.waveshare.com/product/displays/lcd-oled/lcd-oled-2/3.5inch-480x800-lcd.htm,44.99,1,$44.99,,,
Mini-HDMI to HDMI Cable,HDMI cable for display,https://www.aliexpress.us/item/3256809615077123.html?spm=a2g0o.productlist.main.8.2665zmZAzmZA7N&aem_p4p_detail=202510251350533820414637980920002448901&algo_pvid=f852252a-7ad9-43c3-a8da-4e5a7b5fc53c&algo_exp_id=f852252a-7ad9-43c3-a8da-4e5a7b5fc53c-7&pdp_ext_f=%7B%22order%22%3A%22111%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.00%210.99%21%21%214.00%210.99%21%402101d93a17614254531974823e32a0%2112000050211110398%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A487c6e50%3Bm03_new_user%3A-29895%3BpisId%3A5000000187467530&curPageLogUid=s5fbXvPEQDyt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009801391875%7C_p_origin_prod%3A&search_p4p_id=202510251350533820414637980920002448901_2,1.99,1,$1.99,,,
Micro USB to USB C,USB cable for display,https://www.amazon.com/DteeDck-Adapter-Braided-Charging-Transmission/dp/B0BD36TZBK/ref=sr_1_3?crid=3JB4171DXJQSD&dib=eyJ2IjoiMSJ9.j7D2vrgbiLxGiZ8eLgHnYMRQBpcQriEWovB6tCvtnKIOLTDMlLoOxuHSk4-lcGFi6FHM3sO5ZKa8Dpr5FOVERj-xgS1iz99JzQZQLKl-xBtss3sl2CHqI4YVyfzRtf2d5FVlPNSBYPWBQrEoF8NK4ZHuYwldOKcTSCQnjOlM151Fnkp-68gktMK4j8L4pV9yZ8vR2BQQJ_acJUp5917qMGRKSj0DZvHJIeHgQgOO5zU.jbqUbGmHJq4WOtimEhEP5bUgwDAqksgkR2hxvEs_soo&dib_tag=se&keywords=micro%2Busb%2Bto%2Busb%2Bc&qid=1761426126&sprefix=micro%2Busb%2Bto%2Busb%2Caps%2C197&sr=8-3&th=1,5.49,1,$5.49,,,
Controller-PCB,PCB for controller,https://jlcpcb.com/,11.77,5,$58.87,,,
,,,,,,,,
CSS2H-2512R-1L00F,Shunt Resistors,https://www.digikey.com/en/products/detail/bourns-inc/CSS2H-2512R-1L00F/6023764,1.27,3,$3.81,,,
,,,,,,,,
PAS sensor,Pas Sensor,https://www.aliexpress.us/item/3256808182150916.html?spm=a2g0o.cart.0.0.15007a9db9tmpl&mp=1&pdp_npi=5%40dis%21USD%21USD%204.99%21USD%201.99%21%21USD%201.99%21%21%21%402103128817614453809426246ef042%2112000044743553170%21ct%21US%213108417632%21%211%210&_gl=1*1ddvozz*_gcl_au*MTU0MTkyODcyNS4xNzYwMTQ1Mzcx*_ga*MjA2ODc0MDM2Ni4xNzYxNDQ1Mzgy*_ga_VED1YSGNC7*czE3NjE0NDUzODIkbzEkZzAkdDE3NjE0NDUzODIkajYwJGwwJGgw&gatewayAdapt=glo2usa,1.99,1,$1.99,,,
